IP,LAST_CHECK_TIME,SPEED,POSITION,TYPE,PORT
110.73.15.175,47分钟,1.433,广西防城港,HTTPS,8123
114.239.3.210,1分钟,6.256,江苏宿迁,HTTPS,808
121.226.161.174,1分钟,7.928,江苏,HTTPS,808
175.155.137.156,1分钟,7.925,四川德阳,HTTP,808
222.85.50.51,10天,2.374,河南平顶山,HTTP,28847
60.183.212.188,1分钟,0.263,浙江绍兴,HTTP,808
60.183.201.62,1分钟,0.324,浙江绍兴,HTTPS,808
115.213.239.108,1分钟,0.251,浙江丽水,HTTP,808
175.155.243.228,1分钟,0.224,四川德阳,HTTP,808
115.215.71.109,1分钟,2.372,浙江宁波,HTTP,808
122.237.34.164,1分钟,0.63,浙江绍兴,HTTP,808
27.18.175.192,25分钟,0.46,湖北武汉,HTTPS,808
115.203.57.56,2小时,0.187,浙江台州,HTTP,8998
115.46.75.141,42分钟,1.045,广西南宁,HTTP,8123
115.217.253.156,1小时,0.21,浙江宁波,HTTP,808
122.237.32.193,1分钟,0.664,浙江绍兴,HTTP,808
182.90.79.229,1分钟,2.257,广西梧州,HTTP,8123
222.94.151.167,1分钟,3.55,江苏南京,HTTP,808
42.54.166.105,1分钟,4.491,辽宁,HTTP,35642
36.22.123.251,2天,2.166,浙江,HTTP,808
113.69.252.170,1分钟,0.545,广东佛山,HTTP,808
121.226.173.230,1分钟,6.127,江苏,HTTP,808
175.20.175.74,1小时,3.06,吉林,HTTP,33230
1.207.174.116,1分钟,5.045,贵州安顺,HTTP,8998
175.155.247.117,32天,2.674,四川德阳,HTTP,808
115.202.166.39,1分钟,0.579,浙江台州,HTTP,808
171.39.74.48,1分钟,3.406,广西百色,HTTP,8123
121.226.152.63,1分钟,0.406,江苏盐城,HTTP,808
221.229.45.128,2天,1.749,江苏扬州,HTTP,808
171.38.24.227,1分钟,0.869,广西玉林,HTTP,8123
114.231.113.136,1分钟,0.549,江苏南通,HTTP,808
115.230.11.3,1分钟,1.28,浙江丽水,HTTP,808
114.230.219.3,1分钟,4.557,江苏扬州,HTTP,808
114.230.41.144,1分钟,0.159,江苏扬州,HTTP,808
115.220.5.94,5天,0.289,浙江宁波,HTTP,808
117.86.201.181,2分钟,0.218,江苏南通,HTTP,808
111.197.37.200,1分钟,0.768,北京,HTTP,48683
113.110.109.155,1分钟,0.209,广东湛江,HTTP,58263
180.110.134.167,1分钟,0.176,江苏南京,HTTP,808
114.99.18.161,14分钟,3.295,安徽安庆,HTTP,808
182.88.91.51,1小时,5.38,广西南宁,HTTP,8123
222.85.39.97,2小时,0.221,河南平顶山,HTTP,808
36.6.68.220,1分钟,7.253,安徽,HTTP,58895
